Name,Braid Notation
3_1,{1;1;1}
4_1,{1;-2;1;-2}
5_1,{1;1;1;1;1}
5_2,{1;1;1;2;-1;2}
6_1,{1;1;2;-1;-3;2;-3}
6_2,{1;1;1;-2;1;-2}
6_3,{1;1;-2;1;-2;-2}
7_1,{1;1;1;1;1;1;1}
7_2,{1;1;1;2;-1;2;3;-2;3}
7_3,{1;1;1;1;1;2;-1;2}
7_4,{1;1;2;-1;2;2;3;-2;3}
7_5,{1;1;1;1;2;-1;2;2}
7_6,{1;1;-2;1;3;-2;3}
7_7,{-1;2;-1;2;-3;2;-3}
8_1,{1;1;2;-1;2;3;-2;-4;3;-4}
8_2,{1;1;1;1;1;-2;1;-2}
8_3,{1;1;2;-1;-3;2;-3;-4;3;-4}
8_4,{-1;-1;-1;2;-1;2;3;-2;3}
8_5,{1;1;1;-2;1;1;1;-2}
8_6,{1;1;1;1;2;-1;-3;2;-3}
8_7,{-1;-1;-1;-1;2;-1;2;2}
8_8,{-1;-1;-1;-2;1;3;-2;3;3}
8_9,{1;1;1;-2;1;-2;-2;-2}
8_10,{-1;-1;-1;2;-1;-1;2;2}
8_11,{1;1;2;-1;2;2;-3;2;-3}
8_12,{1;-2;1;3;-2;-4;3;-4}
8_13,{1;1;-2;1;-2;-2;-3;2;-3}
8_14,{1;1;1;2;-1;2;-3;2;-3}
8_15,{1;1;-2;1;3;2;2;2;3}
8_16,{-1;-1;2;-1;-1;2;-1;2}
8_17,{1;1;-2;1;-2;1;-2;-2}
8_18,{1;-2;1;-2;1;-2;1;-2}
8_19,{1;1;1;2;1;1;1;2}
8_20,{1;1;1;-2;-1;-1;-1;-2}
8_21,{1;1;1;2;-1;-1;2;2}
9_1,{1;1;1;1;1;1;1;1;1}
9_2,{1;1;1;2;-1;2;3;-2;3;4;-3;4}
9_3,{1;1;1;1;1;1;1;2;-1;2}
9_4,{1;1;1;1;1;2;-1;2;3;-2;3}
9_5,{1;1;2;-1;2;2;3;-2;3;4;-3;4}
9_6,{1;1;1;1;1;1;2;-1;2;2}
9_7,{1;1;1;1;2;-1;2;3;-2;3;3}
9_8,{1;1;-2;1;-2;-3;2;4;-3;4}
9_9,{1;1;1;1;1;2;-1;2;2;2}
9_10,{1;1;2;-1;2;2;2;2;3;-2;3}
9_11,{-1;-1;-1;-1;2;-1;-3;2;-3}
9_12,{1;1;-2;1;3;-2;3;4;-3;4}
9_13,{1;1;1;1;2;-1;2;2;3;-2;3}
9_14,{-1;-1;-2;1;3;-2;3;-4;3;-4}
9_15,{-1;-1;-1;-2;1;3;-2;-4;3;-4}
9_16,{1;1;1;1;2;2;-1;2;2;2}
9_17,{-1;2;-1;2;2;2;-3;2;-3}
9_18,{1;1;1;2;-1;2;2;2;3;-2;3}
9_19,{-1;2;-1;2;2;3;-2;-4;3;-4}
9_20,{1;1;1;-2;1;3;-2;3;3}
9_21,{-1;-1;-2;1;-2;3;-2;-4;3;-4}
9_22,{-1;2;-1;2;-3;2;2;2;-3}
9_23,{1;1;1;2;-1;2;2;3;-2;3;3}
9_24,{1;1;-2;1;3;-2;-2;-2;3}
9_25,{1;1;-2;1;3;2;2;-4;3;-4}
9_26,{-1;-1;-1;2;-1;2;-3;2;-3}
9_27,{1;1;-2;1;-2;-2;3;-2;3}
9_28,{1;1;-2;1;3;-2;-2;3;3}
9_29,{1;-2;-2;3;-2;1;-2;3;-2}
9_30,{-1;-1;2;2;-1;2;-3;2;-3}
9_31,{1;1;-2;1;-2;3;-2;3;3}
9_32,{-1;-1;-3;2;-3;-1;2;-1;2}
9_33,{-1;-3;2;-3;-1;2;2;-1;2}
9_34,{-1;2;-1;2;-3;2;-1;2;-3}
9_35,{1;1;2;-1;2;2;3;-2;-2;4;-3;2;4;3}
9_36,{-1;-1;-1;2;-1;-1;-3;2;-3}
9_37,{1;1;-2;1;3;-2;-1;-4;3;-2;3;-4}
9_38,{1;1;2;2;-3;2;-1;2;3;3;2}
9_39,{-1;-1;-2;1;3;2;-1;-4;-3;2;-3;-4}
9_40,{1;-2;1;3;-2;1;3;-2;3}
9_41,{-1;-1;-2;1;3;2;2;-4;-3;2;-3;-4}
9_42,{-1;-1;-1;2;1;1;-3;2;-3}
9_43,{1;1;1;2;1;1;-3;2;-3}
9_44,{1;1;1;2;-1;-1;-3;2;-3}
9_45,{-1;-1;-2;1;-2;-1;-3;2;-3}
9_46,{-1;2;-1;2;-3;-2;1;-2;-3}
9_47,{-1;2;-1;2;3;2;-1;2;3}
9_48,{-1;-1;-2;1;-2;-1;3;-2;1;-2;3}
9_49,{1;1;2;1;1;-3;2;-1;2;3;3}
10_1,{1;1;2;-1;2;3;-2;3;4;-3;-5;4;-5}
10_2,{1;1;1;1;1;1;1;-2;1;-2}
10_3,{1;1;2;-1;2;3;-2;-4;3;-4;-5;4;-5}
10_4,{-1;-1;-1;2;-1;2;3;-2;3;4;-3;4}
10_5,{-1;-1;-1;-1;-1;-1;2;-1;2;2}
10_6,{1;1;1;1;1;1;2;-1;-3;2;-3}
10_7,{1;1;2;-1;2;3;-2;3;3;-4;3;-4}
10_8,{1;1;1;1;1;-2;1;-2;-3;2;-3}
10_9,{1;1;1;1;1;-2;1;-2;-2;-2}
10_10,{1;1;-2;1;-2;-2;-3;2;-3;-4;3;-4}
10_11,{1;1;1;1;2;-1;-3;2;-3;-4;3;-4}
10_12,{-1;-1;-1;-1;-1;-2;1;3;-2;3;3}
10_13,{1;1;2;-1;-3;2;4;-3;-5;4;-5}
10_14,{1;1;1;1;1;2;-1;2;-3;2;-3}
10_15,{-1;-1;-1;-1;2;-1;2;3;-2;3;3}
10_16,{1;1;2;-1;2;2;-3;2;-3;-4;3;-4}
10_17,{1;1;1;1;-2;1;-2;-2;-2;-2}
10_18,{1;1;1;2;-1;2;-3;2;-3;-4;3;-4}
10_19,{1;1;1;1;-2;1;-2;-2;-3;2;-3}
10_20,{1;1;1;1;2;-1;2;3;-2;-4;3;-4}
10_21,{1;1;2;-1;2;2;2;2;-3;2;-3}
10_22,{1;1;1;1;2;-1;-3;2;-3;-3;-3}
10_23,{1;1;-2;1;-2;-2;-2;-2;-3;2;-3}
10_24,{1;1;2;-1;2;2;2;3;-2;-4;3;-4}
10_25,{1;1;1;1;2;-1;2;2;-3;2;-3}
10_26,{-1;-1;-1;2;-1;2;2;2;3;-2;3}
10_27,{-1;-1;-1;-1;-2;1;-2;3;-2;3;3}
10_28,{-1;-1;-2;1;-2;-2;-3;2;4;-3;4;4}
10_29,{1;1;1;-2;1;3;-2;-4;3;-4}
10_30,{1;1;2;-1;2;2;3;-2;3;-4;3;-4}
10_31,{1;1;1;2;-1;-3;2;-3;-3;-4;3;-4}
10_32,{-1;-1;-1;2;-1;2;2;3;-2;3;3}
10_33,{1;1;2;-1;2;-3;2;-3;-3;-4;3;-4}
10_34,{-1;-1;-1;-2;1;-2;-3;2;4;-3;4;4}
10_35,{1;-2;1;-2;-3;2;4;-3;-5;4;-5}
10_36,{1;1;1;2;-1;2;3;-2;3;-4;3;-4}
10_37,{1;1;1;2;-1;-3;2;-3;-4;3;-4;-4}
10_38,{1;1;1;2;-1;2;2;3;-2;-4;3;-4}
10_39,{1;1;1;2;-1;2;2;2;-3;2;-3}
10_40,{-1;-1;-1;-2;1;-2;-2;3;-2;3;3}
10_41,{-1;2;-1;2;2;-3;2;4;-3;4}
10_42,{1;1;-2;1;-2;3;-2;-4;3;-4}
10_43,{1;1;-2;1;3;-2;-4;3;-4;-4}
10_44,{1;1;-2;1;3;-2;3;-4;3;-4}
10_45,{1;-2;1;-2;3;-2;3;-4;3;-4}
10_46,{1;1;1;1;1;-2;1;1;1;-2}
10_47,{-1;-1;-1;-1;-1;2;-1;-1;2;2}
10_48,{-1;-1;-1;-1;2;2;-1;2;2;2}
10_49,{1;1;1;1;-2;1;3;2;2;2;3}
10_50,{1;1;2;-1;2;2;-3;2;2;2;-3}
10_51,{-1;-1;-2;1;-2;-2;3;-2;-2;3;3}
10_52,{1;1;1;-2;1;1;-2;-2;-3;2;-3}
10_53,{1;1;2;-1;2;-3;2;4;3;3;3;4}
10_54,{-1;-1;-1;2;-1;-1;2;3;-2;3;3}
10_55,{1;1;1;2;-1;-3;2;4;3;3;3;4}
10_56,{1;1;1;2;-1;2;-3;2;2;2;-3}
10_57,{-1;-1;-1;-2;1;-2;3;-2;-2;3;3}
10_58,{-1;2;-1;-3;2;4;3;3;-5;4;-5}
10_59,{-1;2;-1;2;-3;2;2;4;-3;4}
10_60,{-1;2;-1;2;2;-3;2;-3;-2;-4;3;-4}
10_61,{1;1;1;-2;1;1;1;-2;-3;2;-3}
10_62,{-1;-1;-1;-1;2;-1;-1;-1;2;2}
10_63,{1;1;-2;1;3;2;2;2;3;4;-3;4}
10_64,{1;1;1;-2;1;1;1;-2;-2;-2}
10_65,{-1;-1;-2;1;-2;3;-2;-2;-2;3;3}
10_66,{1;1;1;-2;1;3;2;2;2;3;3}
10_67,{1;1;1;3;-4;2;3;-4;-2;-2;3;2;-1;2}
10_68,{1;1;-2;1;-2;-2;-3;2;2;-4;3;-2;-4;-3}
10_69,{-1;-1;-2;1;3;-2;-1;-4;3;-2;3;-4}
10_70,{1;-2;1;3;-2;-2;-2;-4;3;-4}
10_71,{-1;-1;2;-1;-3;2;2;4;-3;4}
10_72,{1;1;1;1;2;2;-1;2;-3;2;-3}
10_73,{-1;-1;-2;1;-2;-1;3;-2;3;-4;3;-4}
10_74,{1;1;2;-1;2;2;3;-2;-2;-4;3;2;-4;3}
10_75,{-1;2;-1;2;-3;2;2;-4;3;-2;-4;-3}
10_76,{1;1;1;1;2;-1;-3;2;2;2;-3}
10_77,{-1;-1;-1;-1;-2;1;3;-2;-2;3;3}
10_78,{1;1;2;-1;2;1;-3;2;4;-3;4;4}
10_79,{1;1;1;-2;-2;1;1;-2;-2;-2}
10_80,{1;1;1;-2;1;1;3;2;2;2;3}
10_81,{1;1;-2;1;3;2;2;-4;-3;-3;-3;-4}
10_82,{1;1;1;1;-2;1;-2;1;-2;-2}
10_83,{-1;-1;-2;1;-2;3;-2;-2;3;-2;3}
10_84,{1;1;1;-3;2;-3;2;2;-3;-1;2}
10_85,{-1;-1;-1;-1;2;-1;-1;2;-1;2}
10_86,{-1;-1;2;-1;2;-1;2;2;3;-2;3}
10_87,{1;1;1;2;-1;-3;2;-3;2;-3;-3}
10_88,{1;-2;1;3;-2;3;-2;-4;3;-4}
10_89,{-1;2;-1;2;3;-2;-1;-4;-3;2;-3;-4}
10_90,{-1;-1;2;2;3;-1;-2;3;2;-1;2}
10_91,{-1;-1;-1;2;-1;2;2;-1;2;2}
10_92,{1;1;1;2;-3;2;-1;2;-3;2;2}
10_93,{-1;-1;3;-2;3;2;-1;2;-1;-1;2}
10_94,{1;1;1;-2;1;-2;-2;1;1;-2}
10_95,{1;1;-2;-3;-3;-2;1;-2;3;-2;-2}
10_96,{1;-2;-1;3;-2;-1;3;-4;3;-2;3;-4}
10_97,{1;1;2;-1;2;1;-3;2;-1;2;3;-4;3;-4}
10_98,{1;1;2;-3;2;2;-1;2;-3;2;2}
10_99,{1;1;-2;1;1;-2;-2;1;-2;-2}
10_100,{-1;-1;-1;2;-1;-1;2;-1;-1;2}
10_101,{1;1;1;2;-1;3;-2;1;3;2;2;4;-3;4}
10_102,{-1;-1;2;-1;-3;2;-1;2;2;3;3}
10_103,{-1;-1;-2;1;3;-2;-2;3;-2;-2;3}
10_104,{-1;-1;-1;2;2;-1;2;-1;2;2}
10_105,{1;1;-2;1;3;2;2;-4;-3;2;-3;-4}
10_106,{1;1;1;-2;1;-2;1;1;-2;-2}
10_107,{1;1;4;-3;2;-3;4;-2;-2;-3;1;-2}
10_108,{1;1;-2;1;1;3;-2;1;-2;-3;-3}
10_109,{1;1;-2;1;-2;-2;1;1;-2;-2}
10_110,{1;-4;-3;2;-3;-4;2;2;2;3;1;-2}
10_111,{1;1;2;2;-3;2;2;-1;2;-3;2}
10_112,{-1;-1;-1;2;-1;2;-1;2;-1;2}
10_113,{1;1;1;2;-3;2;-1;2;-3;2;-3}
10_114,{-1;-1;-2;1;3;-2;3;-2;3;-2;3}
10_115,{1;-2;1;3;2;2;-4;-3;2;-3;-3;-4}
10_116,{-1;-1;2;-1;-1;2;-1;2;-1;2}
10_117,{-1;-1;-2;-2;3;-2;1;-2;3;-2;3}
10_118,{1;1;-2;1;-2;-2;1;-2;1;-2}
10_119,{1;1;-2;1;3;-2;1;-2;-3;-3;-2}
10_120,{1;1;2;-1;-3;-2;1;4;3;2;2;3;3;4}
10_121,{1;1;2;-3;2;-1;2;-3;2;-3;2}
10_122,{-1;-1;-2;3;-2;1;3;-2;3;-2;3}
10_123,{1;-2;1;-2;1;-2;1;-2;1;-2}
10_124,{1;1;1;1;1;2;1;1;1;2}
10_125,{-1;-1;-1;-1;-1;2;1;1;1;2}
10_126,{-1;-1;-1;-1;-1;-2;1;1;1;-2}
